"","X","slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread","is.token","eth.based"
"4695",4695,"ethereum","ETH","Ethereum","2017-07-15",3,199.71,200.16,170.65,170.65,810451968,15923953593,0,29.51,FALSE,FALSE
"4696",4696,"ethereum","ETH","Ethereum","2017-07-16",3,169.57,172.01,133.72,157.36,1516889984,14687441605,0.6174,38.29,FALSE,FALSE
"4697",4697,"ethereum","ETH","Ethereum","2017-07-17",3,159.99,194.75,158.04,193.42,1669500032,18057735704,0.9638,36.71,FALSE,FALSE
"4698",4698,"ethereum","ETH","Ethereum","2017-07-18",3,195.03,267.99,182.06,234.39,2709260032,21887962776,0.609,85.93,FALSE,FALSE
"4699",4699,"ethereum","ETH","Ethereum","2017-07-19",3,234.94,245.65,191.74,199.7,2328790016,18653610729,0.1477,53.91,FALSE,FALSE
"4700",4700,"ethereum","ETH","Ethereum","2017-07-20",3,205.42,233.9,203.22,227.26,2224999936,21233651866,0.7836,30.68,FALSE,FALSE
"4701",4701,"ethereum","ETH","Ethereum","2017-07-21",3,226.06,235.12,213.01,218.3,1006129984,20401709506,0.2393,22.11,FALSE,FALSE
"4702",4702,"ethereum","ETH","Ethereum","2017-07-22",3,217.86,232.7,216.87,229.48,618259968,21451273566,0.7966,15.83,FALSE,FALSE
"4703",4703,"ethereum","ETH","Ethereum","2017-07-23",3,229.12,231.68,217.72,225.95,649614976,21127295409,0.5895,13.96,FALSE,FALSE
"4704",4704,"ethereum","ETH","Ethereum","2017-07-24",3,226.29,227.54,222.45,224.71,431691008,21016755177,0.444,5.09,FALSE,FALSE
"4705",4705,"ethereum","ETH","Ethereum","2017-07-25",3,224.37,225.32,195.85,206.71,1095760000,19338262506,0.3685,29.47,FALSE,FALSE
"4706",4706,"ethereum","ETH","Ethereum","2017-07-26",3,207.09,210.77,194.78,203.95,717692032,19085332800,0.5735,15.99,FALSE,FALSE
"4707",4707,"ethereum","ETH","Ethereum","2017-07-27",3,204.86,206.44,201.26,204.32,393283008,19124468250,0.5907,5.18,FALSE,FALSE
"4708",4708,"ethereum","ETH","Ethereum","2017-07-28",3,204.32,204.9,192.3,193.12,562571008,18081289103,0.0651,12.6,FALSE,FALSE
"4709",4709,"ethereum","ETH","Ethereum","2017-07-29",3,193.34,208.68,179.65,205.79,824355008,19272280500,0.9004,29.03,FALSE,FALSE
"4710",4710,"ethereum","ETH","Ethereum","2017-07-30",3,206.74,208.54,196.15,197.98,596233984,18545669554,0.1477,12.39,FALSE,FALSE
"4711",4711,"ethereum","ETH","Ethereum","2017-07-31",3,197.4,203.87,193.41,203.87,569414016,19102596755,1,10.46,FALSE,FALSE
"4712",4712,"ethereum","ETH","Ethereum","2017-08-01",3,204.69,227.74,204.69,226.77,1585330048,21252988047,0.9579,23.05,FALSE,FALSE
"4713",4713,"ethereum","ETH","Ethereum","2017-08-02",3,227.01,229.51,218.12,219.95,632606016,20618746852,0.1607,11.39,FALSE,FALSE
"4714",4714,"ethereum","ETH","Ethereum","2017-08-03",3,220.18,228.29,219.89,225.34,557217024,21128736918,0.6488,8.4,FALSE,FALSE
"4715",4715,"ethereum","ETH","Ethereum","2017-08-04",3,225.31,227.62,222.06,223.07,539782976,20920682038,0.1817,5.56,FALSE,FALSE
